"","species"
"1","Common Ostrich"
"2","Somali Ostrich"
"3","Greater Rhea"
"4","Lesser Rhea"
"5","Southern Brown Kiwi"
"6","North Island Brown Kiwi"
"7","Okarito Kiwi"
"8","Little Spotted Kiwi"
"9","Great Spotted Kiwi"
"10","Southern Cassowary"
"11","Dwarf Cassowary"
"12","Northern Cassowary"
"13","Emu"
"14","Grey Tinamou"
"15","Solitary Tinamou"
"16","Black Tinamou"
"17","Great Tinamou"
"18","White-throated Tinamou"
"19","Highland Tinamou"
"20","Tawny-breasted Tinamou"
"21","Hooded Tinamou"
"22","Berlepsch's Tinamou"
"23","Cinereous Tinamou"
"24","Little Tinamou"
"25","Tepui Tinamou"
"26","Brown Tinamou"
"27","Undulated Tinamou"
"28","Pale-browed Tinamou"
"29","Brazilian Tinamou"
"30","Grey-legged Tinamou"
"31","Red-legged Tinamou"
"32","Yellow-legged Tinamou"
"33","Black-capped Tinamou"
"34","Thicket Tinamou"
"35","Slaty-breasted Tinamou"
"36","Choco Tinamou"
"37","Variegated Tinamou"
"38","Rusty Tinamou"
"39","Bartlett's Tinamou"
"40","Small-billed Tinamou"
"41","Barred Tinamou"
"42","Tataupa Tinamou"
"43","Red-winged Tinamou"
"44","Huayco Tinamou"
"45","Taczanowski's Tinamou"
"46","Ornate Tinamou"
"47","Chilean Tinamou"
"48","Brushland Tinamou"
"49","Andean Tinamou"
"50","Curve-billed Tinamou"
"51","White-bellied Nothura"
"52","Lesser Nothura"
"53","Darwin's Nothura"
"54","Spotted Nothura"
"55","Dwarf Tinamou"
"56","Elegant Crested Tinamou"
"57","Quebracho Crested Tinamou"
"58","Puna Tinamou"
"59","Patagonian Tinamou"
"60","Horned Screamer"
"61","Northern Screamer"
"62","Southern Screamer"
"63","Magpie Goose"
"64","White-faced Whistling Duck"
"65","Black-bellied Whistling Duck"
"66","Spotted Whistling Duck"
"67","West Indian Whistling Duck"
"68","Fulvous Whistling Duck"
"69","Plumed Whistling Duck"
"70","Wandering Whistling Duck"
"71","Lesser Whistling Duck"
"72","White-backed Duck"
"73","Cape Barren Goose"
"74","Brant Goose"
"75","Red-breasted Goose"
"76","Nene"
"77","Canada Goose"
"78","Barnacle Goose"
"79","Cackling Goose"
"80","Bar-headed Goose"
"81","Emperor Goose"
"82","Ross's Goose"
"83","Snow Goose"
"84","Greylag Goose"
"85","Swan Goose"
"86","Taiga Bean Goose"
"87","Pink-footed Goose"
"88","Tundra Bean Goose"
"89","Greater White-fronted Goose"
"90","Lesser White-fronted Goose"
"91","Coscoroba Swan"
"92","Black Swan"
"93","Black-necked Swan"
"94","Mute Swan"
"95","Trumpeter Swan"
"96","Tundra Swan"
"97","Whooper Swan"
